app_name,category,rating,review_count,price_usd,is_free,content_rating,data_source,processed_date,has_rating,rating_tier,review_tier
Sample App 1,SOCIAL,2.0,71638,0.0,False,Mature 17+,google_play,2025-09-26T12:24:38.981216,True,Poor,Very High
Sample App 2,GAME,2.4,32989,4.99,True,Everyone 10+,google_play,2025-09-26T12:24:38.981216,True,Fair,Very High
Sample App 3,SOCIAL,3.0,15894,0.0,True,Teen,google_play,2025-09-26T12:24:38.981216,True,Fair,Very High
Sample App 4,ENTERTAINMENT,2.0,58319,0.0,True,Everyone 10+,google_play,2025-09-26T12:24:38.981216,True,Poor,Very High
Sample App 5,SHOPPING,4.2,92981,0.0,False,Teen,google_play,2025-09-26T12:24:38.981216,True,Excellent,Very High
Sample App 6,PRODUCTIVITY,1.5,92243,0.0,True,Teen,google_play,2025-09-26T12:24:38.981216,True,Poor,Very High
Sample App 7,SHOPPING,3.9,19376,0.0,False,Everyone,google_play,2025-09-26T12:24:38.981216,True,Good,Very High
Sample App 8,TRAVEL,2.6,67099,0.0,True,Everyone 10+,google_play,2025-09-26T12:24:38.981216,True,Fair,Very High
Sample App 9,HEALTH_AND_FITNESS,4.8,44105,0.0,False,Everyone,google_play,2025-09-26T12:24:38.981216,True,Excellent,Very High
Sample App 10,PRODUCTIVITY,4.5,34809,10.99,False,Everyone,google_play,2025-09-26T12:24:38.981216,True,Excellent,Very High
Sample App 11,COMMUNICATION,3.9,82173,0.0,True,Everyone,google_play,2025-09-26T12:24:38.981216,True,Good,Very High
Sample App 12,SOCIAL,1.4,42146,0.0,True,Teen,google_play,2025-09-26T12:24:38.981216,True,Poor,Very High
Sample App 13,SHOPPING,2.3,52731,0.0,True,Everyone,google_play,2025-09-26T12:24:38.981216,True,Fair,Very High
Sample App 14,FINANCE,2.7,16691,2.99,True,Mature 17+,google_play,2025-09-26T12:24:38.981216,True,Fair,Very High
Sample App 15,FINANCE,4.6,21384,0.0,True,Everyone,google_play,2025-09-26T12:24:38.981216,True,Excellent,Very High
Sample App 16,PRODUCTIVITY,1.7,9271,0.0,True,Teen,google_play,2025-09-26T12:24:38.981216,True,Poor,High
Sample App 17,GAME,4.4,46668,0.0,False,Everyone,google_play,2025-09-26T12:24:38.981216,True,Excellent,Very High
Sample App 18,FINANCE,1.6,46913,0.0,False,Everyone,google_play,2025-09-26T12:24:38.981216,True,Poor,Very High
Sample App 19,PRODUCTIVITY,4.1,10309,9.99,True,Everyone 10+,google_play,2025-09-26T12:24:38.981216,True,Excellent,Very High
Sample App 20,COMMUNICATION,4.1,60065,0.0,True,Everyone,google_play,2025-09-26T12:24:38.981216,True,Excellent,Very High
Sample App 21,SOCIAL,4.5,79052,0.0,False,Teen,google_play,2025-09-26T12:24:38.981216,True,Excellent,Very High
Sample App 22,COMMUNICATION,1.7,80896,0.0,False,Mature 17+,google_play,2025-09-26T12:24:38.981216,True,Poor,Very High
Sample App 23,PRODUCTIVITY,3.0,68677,10.99,False,Teen,google_play,2025-09-26T12:24:38.981216,True,Fair,Very High
Sample App 24,ENTERTAINMENT,1.5,41716,0.0,True,Everyone 10+,google_play,2025-09-26T12:24:38.981216,True,Poor,Very High
Sample App 25,COMMUNICATION,4.3,59107,5.99,True,Everyone,google_play,2025-09-26T12:24:38.981216,True,Excellent,Very High
Sample App 26,EDUCATION,2.2,82747,4.99,False,Mature 17+,google_play,2025-09-26T12:24:38.981216,True,Fair,Very High
Sample App 27,TRAVEL,4.0,23140,7.99,True,Everyone,google_play,2025-09-26T12:24:38.981216,True,Good,Very High
Sample App 28,PRODUCTIVITY,3.2,86573,0.0,False,Teen,google_play,2025-09-26T12:24:38.981216,True,Good,Very High
Sample App 29,COMMUNICATION,3.7,11176,6.99,True,Everyone 10+,google_play,2025-09-26T12:24:38.981216,True,Good,Very High
Sample App 30,GAME,4.0,36416,0.0,True,Everyone,google_play,2025-09-26T12:24:38.981216,True,Good,Very High
Sample App 31,ENTERTAINMENT,4.3,22263,0.0,False,Everyone 10+,google_play,2025-09-26T12:24:38.981216,True,Excellent,Very High
Sample App 32,GAME,3.9,19446,7.99,True,Teen,google_play,2025-09-26T12:24:38.981216,True,Good,Very High
Sample App 33,PRODUCTIVITY,1.2,69847,5.99,True,Everyone 10+,google_play,2025-09-26T12:24:38.981216,True,Poor,Very High
Sample App 34,ENTERTAINMENT,1.2,98105,0.0,False,Teen,google_play,2025-09-26T12:24:38.981216,True,Poor,Very High
Sample App 35,SOCIAL,2.3,90645,0.0,True,Everyone 10+,google_play,2025-09-26T12:24:38.981216,True,Fair,Very High
Sample App 36,TRAVEL,2.9,99443,10.99,False,Everyone,google_play,2025-09-26T12:24:38.981216,True,Fair,Very High
Sample App 37,FINANCE,3.7,37730,0.0,True,Teen,google_play,2025-09-26T12:24:38.981216,True,Good,Very High
Sample App 38,TRAVEL,1.8,36052,0.0,True,Teen,google_play,2025-09-26T12:24:38.981216,True,Poor,Very High
Sample App 39,COMMUNICATION,1.2,54053,0.0,True,Everyone 10+,google_play,2025-09-26T12:24:38.981216,True,Poor,Very High
Sample App 40,SOCIAL,2.3,70464,0.0,False,Teen,google_play,2025-09-26T12:24:38.981216,True,Fair,Very High
Sample App 41,SHOPPING,1.8,17873,0.0,False,Everyone 10+,google_play,2025-09-26T12:24:38.981216,True,Poor,Very High
Sample App 42,COMMUNICATION,2.3,65644,0.0,True,Everyone 10+,google_play,2025-09-26T12:24:38.981216,True,Fair,Very High
Sample App 43,PRODUCTIVITY,3.7,62197,7.99,False,Everyone 10+,google_play,2025-09-26T12:24:38.981216,True,Good,Very High
